failedSwitchBoxesTeleop,successfulScaleBoxesAuto,successfulSwitchBoxesTeleop,topDriveSpeed,scout-alias,vaultBoxes,failedScaleBoxesTeleop,failedScaleBoxesAuto,successfulSwitchBoxesAuto,uuid,successfulScaleBoxesTeleop,notes,starRating,failedSwitchBoxesAuto,climberType,climbSuccess,team,match,crossLine
0,0,1,Slow,Michael,2,0,0,1,A8F0E513-DD16-419B-A33E-90E418449003,3,Had some grabber issues,3.0,0,No Climb,No,team-1781,match-66,Yes
0,0,4,Medium,Sam S.,0,2,0,0,DEDCD50D-8F44-4102-AF79-DB55C3ACD806,1,,5.0,0,Ramp,No,team-1781,match-20,No
0,0,2,Medium,Count Boof Boofington The Third,5,0,0,0,4C6FB437-B4B9-478B-9FD6-C364977B1288,0,"Did well with dropping cubes on switch, but the grabber has some issues; had to try multiple times to load vault with each cube, which was their main deal. ",7.0,0,No Climb,No,team-1781,match-44,Yes
0,0,2,Medium,finna nut,4,0,0,0,DEDCD50D-8F44-4102-AF79-DB55C3ACD806,1,,6.0,1,Ramp,No,team-1781,match-28,Yes
0,0,0,Fast,Emily's iPhone,0,1,0,0,332556CF-2787-4686-AC99-8447F8324F4B,4,,7.0,0,Solo,No,team-269,match-35,Yes
0,0,0,Medium,Big Gay,7,0,0,1,C360D20C-B0CD-42E2-9103-8D6A69E577DE,3,,8.0,0,No Climb,No,team-269,match-27,Yes
0,0,6,Fast,Emily's iPhone,0,0,0,1,332556CF-2787-4686-AC99-8447F8324F4B,1,,7.0,0,No Climb,No,team-269,match-67,Yes
0,0,2,Fast,Fat Bastard,3,0,0,1,8DAB4AF3-9301-4506-9248-0FCC10F0FCD7,3,Well rounded beast,9.5,0,Solo,Yes,team-269,match-43,Yes
1,0,0,Medium,Annie,4,0,0,1,7629E9DF-6981-4729-83F5-27748548E679,3,,7.0,0,Solo,Yes,team-269,match-80,Yes
0,0,3,Medium,Sam S.,0,0,0,0,DEDCD50D-8F44-4102-AF79-DB55C3ACD806,4,,6.0,0,Ramp,No,team-269,match-18,No
0,0,0,Medium,Bepis,0,0,0,0,EC438849-AE77-4776-A563-EE948BD2F4F2,3,,6.0,0,Solo,Yes,team-4241,match-6,No
0,0,5,Fast,Big Gay,0,0,0,1,C360D20C-B0CD-42E2-9103-8D6A69E577DE,3,,7.0,0,No Climb,No,team-4241,match-37,Yes
0,0,0,Medium,Ian Fowler,0,1,0,0,8DAB4AF3-9301-4506-9248-0FCC10F0FCD7,3,"Battery fell out, disabled ",4.0,0,No Climb,No,team-4241,match-21,Yes
0,0,4,Medium,Big Gay,0,0,0,0,C360D20C-B0CD-42E2-9103-8D6A69E577DE,2,,6.5,0,No Climb,No,team-4241,match-30,No
0,0,0,Medium,Bepis,0,0,0,1,EC438849-AE77-4776-A563-EE948BD2F4F2,4,,6.5,0,Solo,No,team-4241,match-16,No
0,0,3,Fast,Annie,0,1,0,0,7629E9DF-6981-4729-83F5-27748548E679,2,,7.0,0,No Climb,No,team-4241,match-78,No
0,0,2,Medium,Big Gay,0,0,0,1,C360D20C-B0CD-42E2-9103-8D6A69E577DE,1,,3.5,0,No Climb,No,team-5041,match-67,Yes
0,0,0,Medium,Boof,0,2,0,0,4C6FB437-B4B9-478B-9FD6-C364977B1288,2,"Has good scale capabilities, it can reach very high. However, the aim of the drivers was a bit iffy, and they focused only on the scale. Not bad, though.",7.0,0,No Climb,No,team-5041,match-20,Yes
0,0,0,Medium,Count Boof Boofington The Third,0,1,0,0,4C6FB437-B4B9-478B-9FD6-C364977B1288,1,"Good build, grabber. The elevator worked at first, getting some scale points, but what seemed to be a technical difficulty led to the robot not being able to do anything. Not the fastest, but a safe bet.",4.0,0,No Climb,No,team-5041,match-37,Yes
0,0,2,Medium,Annie,1,1,0,0,7629E9DF-6981-4729-83F5-27748548E679,2,,6.0,0,No Climb,No,team-5041,match-76,No
0,0,1,Medium,Bepis,0,0,0,0,EC438849-AE77-4776-A563-EE948BD2F4F2,0,,2.5,0,No Climb,No,team-4269,match-3,No
0,0,3,Medium,Dhvanil ,0,0,0,0,24151749-E8CD-4188-B635-E579547A6BA9,1,,7.0,0,No Climb,No,team-4269,match-43,Yes
1,0,1,Medium,Imagine Wagons,0,0,0,0,EC438849-AE77-4776-A563-EE948BD2F4F2,0,,3.0,0,No Climb,No,team-4269,match-21,Yes
0,0,1,Slow,Fat Bastard,0,1,0,0,8DAB4AF3-9301-4506-9248-0FCC10F0FCD7,2,"Little activity, really slow",2.5,0,No Climb,No,team-4269,match-31,Yes
1,0,4,Medium,iPhone,0,0,0,0,02BF5D44-01E2-4135-80DD-5EBE5B200F18,1,,7.0,0,No Climb,No,team-4269,match-68,Yes
0,0,2,Medium,Bepis,0,1,0,0,EC438849-AE77-4776-A563-EE948BD2F4F2,0,,5.0,0,Solo,Yes,team-4979,match-15,Yes
0,0,1,Slow,Bepis,0,0,0,0,EC438849-AE77-4776-A563-EE948BD2F4F2,0,,1.5,1,No Climb,No,team-4979,match-9,No
2,0,2,Medium,Bone Daddy,0,0,0,0,EC438849-AE77-4776-A563-EE948BD2F4F2,0,,3.0,0,No Climb,No,team-4979,match-27,Yes
1,0,1,Medium,Big Gay,0,0,0,1,C360D20C-B0CD-42E2-9103-8D6A69E577DE,0,"Grabber does not work well 
",4.0,0,No Climb,No,team-4979,match-32,Yes
